词语       十进制 符号化反转二进制 二进制    反转二进制
valid        965      ●○●○○○●●●● 1111000101   1010001111  
valuable     966      ○●●○○○●●●● 1111000110   0110001111  
vampire      967      ●●●○○○●●●● 1111000111   1110001111  
vanish       968      ○○○●○○●●●● 1111001000   0001001111  
various      969      ●○○●○○●●●● 1111001001   1001001111  
vegan        970      ○●○●○○●●●● 1111001010   0101001111  
velvet       971      ●●○●○○●●●● 1111001011   1101001111  
venture      972      ○○●●○○●●●● 1111001100   0011001111  
verdict      973      ●○●●○○●●●● 1111001101   1011001111  
verify       974      ○●●●○○●●●● 1111001110   0111001111  
very         975      ●●●●○○●●●● 1111001111   1111001111  
veteran      976      ○○○○●○●●●● 1111010000   0000101111  
vexed        977      ●○○○●○●●●● 1111010001   1000101111  
victim       978      ○●○○●○●●●● 1111010010   0100101111  
video        979      ●●○○●○●●●● 1111010011   1100101111  
view         980      ○○●○●○●●●● 1111010100   0010101111  
vintage      981      ●○●○●○●●●● 1111010101   1010101111  
violence     982      ○●●○●○●●●● 1111010110   0110101111  
viral        983      ●●●○●○●●●● 1111010111   1110101111  
visitor      984      ○○○●●○●●●● 1111011000   0001101111  
visual       985      ●○○●●○●●●● 1111011001   1001101111  
vitamins     986      ○●○●●○●●●● 1111011010   0101101111  
vocal        987      ●●○●●○●●●● 1111011011   1101101111  
voice        988      ○○●●●○●●●● 1111011100   0011101111  
volume       989      ●○●●●○●●●● 1111011101   1011101111  
voter        990      ○●●●●○●●●● 1111011110   0111101111  
voting       991      ●●●●●○●●●● 1111011111   1111101111  
walnut       992      ○○○○○●●●●● 1111100000   0000011111  
warmth       993      ●○○○○●●●●● 1111100001   1000011111  
warn         994      ○●○○○●●●●● 1111100010   0100011111  
watch        995      ●●○○○●●●●● 1111100011   1100011111  
wavy         996      ○○●○○●●●●● 1111100100   0010011111  
wealthy      997      ●○●○○●●●●● 1111100101   1010011111  
weapon       998      ○●●○○●●●●● 1111100110   0110011111  
webcam       999      ●●●○○●●●●● 1111100111   1110011111  
welcome      1000     ○○○●○●●●●● 1111101000   0001011111  
welfare      1001     ●○○●○●●●●● 1111101001   1001011111  
western      1002     ○●○●○●●●●● 1111101010   0101011111  
width        1003     ●●○●○●●●●● 1111101011   1101011111  
wildlife     1004     ○○●●○●●●●● 1111101100   0011011111  
window       1005     ●○●●○●●●●● 1111101101   1011011111  
wine         1006     ○●●●○●●●●● 1111101110   0111011111  
wireless     1007     ●●●●○●●●●● 1111101111   1111011111  
wisdom       1008     ○○○○●●●●●● 1111110000   0000111111  
withdraw     1009     ●○○○●●●●●● 1111110001   1000111111  
wits         1010     ○●○○●●●●●● 1111110010   0100111111  
wolf         1011     ●●○○●●●●●● 1111110011   1100111111  
woman        1012     ○○●○●●●●●● 1111110100   0010111111  
work         1013     ●○●○●●●●●● 1111110101   1010111111  
worthy       1014     ○●●○●●●●●● 1111110110   0110111111  
wrap         1015     ●●●○●●●●●● 1111110111   1110111111  
wrist        1016     ○○○●●●●●●● 1111111000   0001111111  
writing      1017     ●○○●●●●●●● 1111111001   1001111111  
wrote        1018     ○●○●●●●●●● 1111111010   0101111111  
year         1019     ●●○●●●●●●● 1111111011   1101111111  
yelp         1020     ○○●●●●●●●● 1111111100   0011111111  
yield        1021     ●○●●●●●●●● 1111111101   1011111111  
yoga         1022     ○●●●●●●●●● 1111111110   0111111111  
zero         1023     ●●●●●●●●●● 1111111111   1111111111  
